"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"0ade5cc4a305ed7093a23f68ca47519c","curitiba","PR",2,2,2,158.88,42.39,201.27,5.00
"0aea4c6ae1505b3228ddf3dd7822ee5b","sorocaba","SP",8,8,8,1427.91,151.75,1579.66,3.88
"0af2ab31141893d26aca5a404a537dab","sao paulo","SP",1,1,1,59.00,15.51,74.51,5.00
"0af977692321d895349eded183341d28","santos","SP",2,2,2,257.75,19.47,277.22,4.50
"0afccdb8a34ee5c79f7c06faf2b4d56e","uberlandia","MG",25,25,10,1225.50,388.28,1613.78,4.04
"0b09101900100c0e9d312861fad5a1b9","sao paulo","SP",1,1,1,153.75,14.61,168.36,4.00
"0b0ddbc7b9d9584f442c7ac92b0ff6c9","guarulhos","SP",3,3,3,1416.76,133.88,1550.64,4.67
"0b18d63d0cd1d723567903fd34a07df2","sp","SP",9,14,9,1678.14,265.89,1944.03,4.79
"0b1ca3ef18a63d7eb0c8897fa0849c08","sao roque","SP",1,1,1,55.00,7.87,62.87,5.00
"0b35c634521043bf4b47e21547b99ab5","teixeira soares","PR",51,78,39,13533.65,1475.09,15008.74,3.49
"0b36063d5818f81ccb94b54adfaebbf5","jaragua do sul","SC",1,15,1,765.00,18.00,783.00,5.00
"0b3f27369a4d8df98f7eb91077e438ac","aruja","SP",2,2,2,146.51,24.88,171.39,4.00
"0b46f784306be7200ca1700aa55d819f","belo horizonte","MG",1,1,1,19.90,10.96,30.86,5.00
"0b64bcdb0784abc139af04077d49a20e","canoas","RS",4,4,2,137.60,68.21,205.81,4.75
"0b90b6df587eb83608a64ea8b390cf07","maringa","PR",164,210,46,28592.32,3615.32,32207.64,4.00
"0bae85eb84b9fb3bd773911e89288d54","itajai","SP",137,146,45,7482.21,2924.19,10406.40,4.21
"0bb27263628258b8111a0262769fa9db","sao paulo","SP",1,1,1,22.20,10.96,33.16,5.00
"0bb738e4d789e63e2267697c42d35a2d","sao roque","SP",30,31,4,2388.30,642.34,3030.64,4.58
"0be8ff43f22e456b4e0371b2245e4d01","sao paulo","SP",161,180,121,11805.50,2579.15,14384.65,3.89
"0bebbb2cea103a4a020c95d43fd7d754","sao paulo","SP",9,9,9,1367.20,147.14,1514.34,4.89
"0bf0150d5b9d60d9cd2906003332f085","sao paulo","SP",39,62,15,5774.60,1097.74,6872.34,3.71
